Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0502165328285487,2.73738125292911E-05,0.031001700196131,0,0,0,3.15600508148061,0.0101956910304204,-8.324620082986E-06,-0.000407862055256502,0.0141071441577526,-1.47426007063046E-06,0.0225589809273961,0,0,0,0,0,0,package://rbo/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rbo/meshes/base_link.STL,,Assem1;base-1;Part1-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,0.119946222993201,0.117120245509277,0.00492452660000106,0,0,0,0.015380876049423,6.32585168804471E-06,-2.99075748651794E-20,5.29026587161549E-23,1.06001528693119E-05,-7.76512072299179E-23,6.32585168804471E-06,0,0,0,0,0,0,package://rbo/meshes/left_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rbo/meshes/left_wheel.STL,,Tyren-2,Coordinate System1,Axis1,left_wheelj,continuous,0,0,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
right_wheel,0.119946222993201,-0.117120245509272,0.00492452660000099,0,0,0,0.015380876049423,6.32585168804472E-06,6.98160552508791E-22,1.71446940671184E-22,1.06001528693119E-05,5.17641975462766E-23,6.32585168804472E-06,0,0,0,0,0,0,package://rbo/meshes/right_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rbo/meshes/right_wheel.STL,,Tyren-1,Coordinate System1,Axis2,right_wheelj,continuous,0,0,0,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
