Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0519027671846017,2.7645074374652E-05,0.0312601129481959,0,0,0,3.12503740346226,0.0101802209294379,-8.32731972476421E-06,-0.000407868204595875,0.0140826384459327,-1.47425502690866E-06,0.0225402056092829,0,0,0,0,0,0,package://Assem5/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem5/meshes/base_link.STL,,basenew-1;Part1-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,0.119946229458579,-0.117198107643109,0.00492452483658509,0,0,0,0.0154842443751589,6.32949606004192E-06,2.91175550249844E-22,-8.82281936056068E-23,1.06002362306982E-05,2.70221847327768E-23,6.32949606004191E-06,0,0,0,0,0,0,package://Assem5/meshes/left_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assem5/meshes/left_wheel.STL,,Tyre-1,Coordinate System1,Axis3,left_wheelj,continuous,0,0,0,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
right_wheel,0.119946222993201,0.117198107643112,0.00492452660000059,0,0,0,0.0154842443751589,6.3294960600419E-06,-8.72737624636687E-22,1.80070720815117E-22,1.06002362306982E-05,3.01996515628913E-20,6.3294960600419E-06,0,0,0,0,0,0,package://Assem5/meshes/right_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assem5/meshes/right_wheel.STL,,Tyre-3,Coordinate System1,Axis1,right_wheelj,continuous,0,0,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
